period,geo4,mc_group,speed_bucket,geom_group,crashes,fatalities,fatal_per_1000,share,share_pct
2018–2020,SMALL_CITIES,Motorcycle-involved,<=60,Not at intersection,3,0,0,0.21428571428571427,21.428571428571427
2018–2020,SMALL_CITIES,Motorcycle-involved,<=60,Cross intersection,7,0,0,0.5,50
2018–2020,SMALL_CITIES,Motorcycle-involved,<=60,T intersection,2,0,0,0.14285714285714285,14.285714285714285
2018–2020,SMALL_CITIES,Motorcycle-involved,70–80,Not at intersection,1,0,0,0.07142857142857142,7.142857142857142
2018–2020,SMALL_CITIES,Motorcycle-involved,70–80,Cross intersection,1,0,0,0.07142857142857142,7.142857142857142
2018–2020,SMALL_CITIES,Non-motorcycle,<=60,Not at intersection,707,14,19.801980198019802,0.36575271598551473,36.575271598551474
2018–2020,SMALL_CITIES,Non-motorcycle,<=60,Cross intersection,556,4,7.1942446043165464,0.2876357992757372,28.76357992757372
2018–2020,SMALL_CITIES,Non-motorcycle,<=60,T intersection,392,6,15.306122448979592,0.20279358510087947,20.279358510087945
2018–2020,SMALL_CITIES,Non-motorcycle,70–80,Not at intersection,95,5,52.63157894736842,0.04914640455250905,4.914640455250905
2018–2020,SMALL_CITIES,Non-motorcycle,70–80,Cross intersection,55,0,0,0.028453181583031558,2.8453181583031557
2018–2020,SMALL_CITIES,Non-motorcycle,70–80,T intersection,77,0,0,0.03983445421624418,3.983445421624418
2018–2020,SMALL_CITIES,Non-motorcycle,>=90,Not at intersection,43,1,23.25581395348837,0.02224521469218831,2.224521469218831
2018–2020,SMALL_CITIES,Non-motorcycle,>=90,Cross intersection,3,0,0,0.0015519917227108122,0.1551991722710812
2018–2020,SMALL_CITIES,Non-motorcycle,>=90,T intersection,5,1,200,0.002586652871184687,0.2586652871184687
2018–2020,TOWNS,Motorcycle-involved,<=60,Not at intersection,3,0,0,0.25,25
2018–2020,TOWNS,Motorcycle-involved,<=60,Cross intersection,3,0,0,0.25,25
2018–2020,TOWNS,Motorcycle-involved,<=60,T intersection,1,1,1000,0.08333333333333333,8.333333333333332
2018–2020,TOWNS,Motorcycle-involved,70–80,Not at intersection,2,0,0,0.16666666666666666,16.666666666666664
2018–2020,TOWNS,Motorcycle-involved,70–80,Cross intersection,2,0,0,0.16666666666666666,16.666666666666664
2018–2020,TOWNS,Motorcycle-involved,70–80,T intersection,1,0,0,0.08333333333333333,8.333333333333332
2018–2020,TOWNS,Non-motorcycle,<=60,Not at intersection,450,13,28.88888888888889,0.3923278116826504,39.23278116826504
2018–2020,TOWNS,Non-motorcycle,<=60,Cross intersection,336,5,14.880952380952381,0.29293809938971227,29.293809938971226
2018–2020,TOWNS,Non-motorcycle,<=60,T intersection,174,3,17.24137931034483,0.15170008718395817,15.170008718395817
2018–2020,TOWNS,Non-motorcycle,70–80,Not at intersection,67,2,29.850746268656717,0.05841325196163906,5.841325196163906
2018–2020,TOWNS,Non-motorcycle,70–80,Cross intersection,36,1,27.77777777777778,0.03138622493461203,3.1386224934612033
2018–2020,TOWNS,Non-motorcycle,70–80,T intersection,33,0,0,0.02877070619006103,2.877070619006103
2018–2020,TOWNS,Non-motorcycle,>=90,Not at intersection,37,0,0,0.03225806451612903,3.225806451612903
2018–2020,TOWNS,Non-motorcycle,>=90,Cross intersection,4,0,0,0.0034873583260680036,0.34873583260680036
2018–2020,TOWNS,Non-motorcycle,>=90,T intersection,10,1,100,0.008718395815170008,0.8718395815170008
2021–2023,MELB_URBAN,Motorcycle-involved,<=60,Not at intersection,85,1,11.764705882352942,0.2920962199312715,29.20962199312715
2021–2023,MELB_URBAN,Motorcycle-involved,<=60,Cross intersection,66,2,30.303030303030305,0.2268041237113402,22.68041237113402
2021–2023,MELB_URBAN,Motorcycle-involved,<=60,T intersection,46,1,21.73913043478261,0.15807560137457044,15.807560137457044
2021–2023,MELB_URBAN,Motorcycle-involved,70–80,Not at intersection,43,1,23.25581395348837,0.14776632302405499,14.776632302405499
2021–2023,MELB_URBAN,Motorcycle-involved,70–80,Cross intersection,13,0,0,0.044673539518900345,4.4673539518900345
2021–2023,MELB_URBAN,Motorcycle-involved,70–80,T intersection,21,0,0,0.07216494845360824,7.216494845360824
2021–2023,MELB_URBAN,Motorcycle-involved,>=90,Not at intersection,16,0,0,0.054982817869415807,5.498281786941581
2021–2023,MELB_URBAN,Motorcycle-involved,>=90,T intersection,1,0,0,0.003436426116838488,0.3436426116838488
2021–2023,MELB_URBAN,Non-motorcycle,<=60,Not at intersection,7681,71,9.24358807446947,0.3178432508482993,31.784325084829927
2021–2023,MELB_URBAN,Non-motorcycle,<=60,Cross intersection,4401,36,8.1799591002045,0.1821153686998262,18.21153686998262
2021–2023,MELB_URBAN,Non-motorcycle,<=60,T intersection,4563,41,8.98531667762437,0.1888190019035008,18.88190019035008
2021–2023,MELB_URBAN,Non-motorcycle,70–80,Not at intersection,3177,51,16.052880075542966,0.131465695605396,13.1465695605396
2021–2023,MELB_URBAN,Non-motorcycle,70–80,Cross intersection,1595,20,12.539184952978056,0.06600182073988248,6.600182073988248
2021–2023,MELB_URBAN,Non-motorcycle,70–80,T intersection,1462,20,13.679890560875513,0.060498220640569395,6.049822064056939
2021–2023,MELB_URBAN,Non-motorcycle,>=90,Not at intersection,1227,12,9.7799511002445,0.05077381445005379,5.077381445005379
2021–2023,MELB_URBAN,Non-motorcycle,>=90,Cross intersection,28,0,0,0.001158652652486965,0.1158652652486965
2021–2023,MELB_URBAN,Non-motorcycle,>=90,T intersection,32,0,0,0.001324174459985103,0.1324174459985103
2021–2023,RURAL_VICTORIA,Motorcycle-involved,<=60,Not at intersection,6,0,0,0.1276595744680851,12.76595744680851
2021–2023,RURAL_VICTORIA,Motorcycle-involved,<=60,Cross intersection,1,0,0,0.02127659574468085,2.127659574468085
2021–2023,RURAL_VICTORIA,Motorcycle-involved,<=60,T intersection,2,0,0,0.0425531914893617,4.25531914893617
2021–2023,RURAL_VICTORIA,Motorcycle-involved,70–80,Not at intersection,10,2,200,0.2127659574468085,21.27659574468085
2021–2023,RURAL_VICTORIA,Motorcycle-involved,70–80,Cross intersection,3,0,0,0.06382978723404255,6.382978723404255
2021–2023,RURAL_VICTORIA,Motorcycle-involved,70–80,T intersection,3,0,0,0.06382978723404255,6.382978723404255
2021–2023,RURAL_VICTORIA,Motorcycle-involved,>=90,Not at intersection,19,3,157.89473684210526,0.40425531914893614,40.42553191489361
2021–2023,RURAL_VICTORIA,Motorcycle-involved,>=90,Cross intersection,2,0,0,0.0425531914893617,4.25531914893617
2021–2023,RURAL_VICTORIA,Motorcycle-involved,>=90,T intersection,1,0,0,0.02127659574468085,2.127659574468085
2021–2023,RURAL_VICTORIA,Non-motorcycle,<=60,Not at intersection,1029,24,23.323615160349853,0.12018220042046251,12.018220042046252
2021–2023,RURAL_VICTORIA,Non-motorcycle,<=60,Cross intersection,294,6,20.408163265306122,0.03433777154870357,3.433777154870357
2021–2023,RURAL_VICTORIA,Non-motorcycle,<=60,T intersection,328,9,27.4390243902439,0.03830880635365569,3.8308806353655687
2021–2023,RURAL_VICTORIA,Non-motorcycle,70–80,Not at intersection,1552,47,30.283505154639176,0.1812660593319318,18.12660593319318
2021–2023,RURAL_VICTORIA,Non-motorcycle,70–80,Cross intersection,360,11,30.555555555555557,0.04204625087596356,4.204625087596356
2021–2023,RURAL_VICTORIA,Non-motorcycle,70–80,T intersection,445,8,17.97752808988764,0.051973837888343845,5.197383788834385
2021–2023,RURAL_VICTORIA,Non-motorcycle,>=90,Not at intersection,3772,240,63.62672322375398,0.4405512730670404,44.05512730670404
2021–2023,RURAL_VICTORIA,Non-motorcycle,>=90,Cross intersection,389,40,102.82776349614396,0.04543330997430507,4.543330997430507
2021–2023,RURAL_VICTORIA,Non-motorcycle,>=90,T intersection,393,24,61.06870229007634,0.04590049053959355,4.590049053959355
2021–2023,SMALL_CITIES,Motorcycle-involved,<=60,Not at intersection,8,0,0,0.38095238095238093,38.095238095238095
2021–2023,SMALL_CITIES,Motorcycle-involved,<=60,Cross intersection,4,0,0,0.19047619047619047,19.047619047619047
2021–2023,SMALL_CITIES,Motorcycle-involved,<=60,T intersection,6,0,0,0.2857142857142857,28.57142857142857
2021–2023,SMALL_CITIES,Motorcycle-involved,70–80,Cross intersection,1,0,0,0.047619047619047616,4.761904761904762
